path,label,dataset,speaker,split,utt_id,level,lang
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\mesd_es\Anger_C_A_abajo.wav,anger,mesd_es,mesd_C_A,all,Anger_C_A_abajo,,
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\mesd_es\Anger_C_A_adios.wav,anger,mesd_es,mesd_C_A,all,Anger_C_A_adios,,
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\mesd_es\Anger_C_A_antes.wav,anger,mesd_es,mesd_C_A,all,Anger_C_A_antes,,
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\mesd_es\Anger_C_A_arriba.wav,anger,mesd_es,mesd_C_A,all,Anger_C_A_arriba,,
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\mesd_es\Anger_C_A_ayer.wav,anger,mesd_es,mesd_C_A,all,Anger_C_A_ayer,,
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\mesd_es\Anger_C_A_basta_ya.wav,anger,mesd_es,mesd_C_A,all,Anger_C_A_basta_ya,,
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\mesd_es\Anger_C_A_de_nada.wav,anger,mesd_es,mesd_C_A,all,Anger_C_A_de_nada,,
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\mesd_es\Anger_C_A_delante.wav,anger,mesd_es,mesd_C_A,all,Anger_C_A_delante,,
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\mesd_es\Anger_C_A_dentro.wav,anger,mesd_es,mesd_C_A,all,Anger_C_A_dentro,,
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\mesd_es\Anger_C_A_derecha.wav,anger,mesd_es,mesd_C_A,all,Anger_C_A_derecha,,
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\mesd_es\Anger_C_A_detras.wav,anger,mesd_es,mesd_C_A,all,Anger_C_A_detras,,
