path,label,dataset,speaker,split
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-01-01-01-01-01.wav,neutral,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-01-01-01-02-01.wav,neutral,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-01-01-02-01-01.wav,neutral,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-01-01-02-02-01.wav,neutral,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-02-01-01-01-01.wav,neutral,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-02-01-01-02-01.wav,neutral,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-02-01-02-01-01.wav,neutral,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-02-01-02-02-01.wav,neutral,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-02-02-01-01-01.wav,neutral,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-02-02-01-02-01.wav,neutral,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-02-02-02-01-01.wav,neutral,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-02-02-02-02-01.wav,neutral,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-03-01-01-01-01.wav,joy,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-03-01-01-02-01.wav,joy,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-03-01-02-01-01.wav,joy,ravdess,actor_01,all
